Zipcode  Duration (s)  Distance
Time: 10-20-2014 21:00:00
19426  6786  152.008
08882  2264  39.346
10310  2631  20.395
19462  5688  137.678
07670  3096  48.782
07931  2511  52.313
07882  4169  85.028
07945  2715  43.79
07076  1092  9.053
98346  163135  4551.347
08512  2942  57.028
88546  119744  3486.916
07701  2857  55.633
07676  2367  48.281
08850  2210  39.694
07067  1316  18.932
07922  1400  23.74
07940  1722  23.625
08846  2381  25.971
18042  4223  99.644
18925  5653  107.189
08559  4278  85.295
18960  6281  144.994
18901  5945  109.974
18052  5508  131.029
18920  4453  92.758
08867  3382  76.085
07078  1355  18.099
07803  2905  49.816
08755  4310  96.099
07002  1650  24.28
18929  5778  111.724
10022  2971  40.405
17111  10042  255.615
08857  2363  39.102
07456  3437  70.037
38117  60058  1730.675
19403  6582  146.512
10001  2239  36.805
07840  3719  79.907
08809  3351  73.114
07063  1857  20.558
18343  4343  102.462
07753  3086  67.758
07924  2673  48.6
07463  2569  49.211
10993  4074  80.342
18103  4938  126.109
12060  10194  267.659
02043  16772  405.631
07438  3586  69.561
19116  5002  114.167
19002  5442  134.123
08501  3584  78.626
18054  6708  152.336
07436  2771  63.055
18938  4601  95.478
08050  5395  128.674
88013  119687  3394.146
08848  3849  87.93
08540  3673  60.749
18914  6130  116.882
07401  3142  52.866
07033  0  0
19130  6055  135.621
33067  69757  1981.64
08804  3764  84.058
07950  2417  38.698
08887  3136  65.37
07760  3455  58.571
07045  2211  44.938
08510  3686  73.684
08805  2374  27.297
07006  2229  33.36
07081  720  6.228
18017  4606  117.547
07095  1237  22.382
07110  1607  23.468
08550  3378  71.468
19468  7298  171.321
08721  4234  102.101
07720  3527  70.338
07302  1797  28.671
07675  2932  53.13
07728  3504  56.391
07082  2328  47.142
08536  3314  58.796
18074  7139  158.882
18106  5874  138.987
08085  6329  156.201
07863  4403  90.36
08836  2242  42.825
07432  2832  41.882
03825  19850  465.548
08108  5565  125.15
18039  4691  99.487
88221  111661  3167.038
08884  2536  40.795
07068  1611  27.803
19454  5803  139.384
07834  2264  43.735
27809  26244  704.153
08823  3010  50.861
18064  4876  117.706
18928  4864  99.762
19067  4194  93.307
07921  2600  53.089
19128  6395  140.423
07726  2972  51.717
10011  2534  33.354
08560  4762  85.326
07208  982  8.747
07470  2339  37.897
08535  3202  68.169
88231  107313  3112.649
19473  7206  167.354
10954  2986  61.429
07876  3000  52.887
08075  5011  107.575
34232  67909  1876.298
08835  2784  33.888
08829  3049  67.117
