Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
07018  6635  151.595
07926  6645  119.78
18963  2566  35.763
08722  6615  150.175
07481  7639  155.837
07405  7453  147.381
10924  9652  211.653
18077  3690  59.686
02908  18341  451.387
08751  7028  137.103
75230  83054  2397.961
80129  96958  2781.874
92106  152020  4352.026
44026  24726  667.836
85340  131936  3811.151
92708  151898  4379.433
07663  7430  176.687
18930  3328  51.191
10597  10784  247.697
46060  39379  1065.974
10019  7322  164.516
19103  2523  52.054
07047  7033  161.161
19001  1827  19.932
07304  6754  156.246
07205  6590  146.218
07980  6412  109.309
08525  3919  60.128
18972  3141  50.662
10028  8160  171.175
98117  156825  4475.864
08088  5548  104.907
18018  3444  70.858
07305  6793  155.28
88121  102306  2891.412
07444  7186  142.073
33624  61781  1698.109
07856  7161  126.341
19125  2839  57.477
15927  16172  414.128
08505  3682  59.005
10708  8178  191.092
07739  6671  145.311
04072  25426  646.504
14221  22008  596.487
19460  2154  28.1
08061  3726  80.456
19090  1646  18.058
14534  18557  495.034
07203  6296  138.961
08880  5579  93.409
08690  3986  72.635
07307  6939  160.911
18088  3997  78.315
98052  156154  4464.495
18092  2600  44.925
07843  7612  126.331
08518  3680  54.779
08904  5386  115.33
07079  7100  129.244
14608  18981  509.251
08010  4205  60.467
07607  7373  175.48
07031  7114  159.265
94005  158766  4633.229
07961  6229  113.936
10014  7352  162.888
24592  25087  614.999
29926  45363  1182.182
07627  8286  179.705
19064  2546  50.962
07801  7086  137.647
20148  12167  300.164
15090  20553  527.839
08048  4471  77.72
85024  131241  3771.816
10010  7724  166.871
07981  6428  119.712
30309  48222  1275.539
33327  68988  1929.753
88263  109279  3178.903
07440  7409  139.206
07102  6493  147.831
18076  1965  26.277
07026  7415  170.667
39503  67596  1935.213
27712  25615  678.012
34105  71872  1914.512
27021  30317  839.038
24477  18984  520.853
07650  7116  167.226
21050  7511  176.012
19046  2275  28.035
85343  133607  3844.238
18353  4733  108.979
08318  5176  108.846
70802  72050  2091.858
07008  5945  132.864
07112  6416  145.786
10913  8688  199.712
12508  10566  224.03
10314  6352  143.62
98072  156598  4474.957
41042  34910  948.355
07423  8185  164.027
11354  8210  184.686
07032  6231  149.797
18080  3644  70.465
18466  6272  153.859
07310  6911  158.222
70596  75157  2182.376
18954  2877  37.503
14701  21207  526.335
07933  6453  112.406
08094  4780  98.072
