Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
20148  15811  361.196
15090  21792  560.217
08048  5212  95.096
85024  132721  3804.194
10010  4493  83.049
07981  2354  47.431
30309  47486  1343.121
33327  72875  1990.785
88263  110035  3209.796
07440  3353  66.925
07102  2883  61.128
18076  4867  100.779
07026  3806  80.121
39503  68851  1966.106
27712  29315  739.044
34105  75987  1975.544
27021  31410  869.931
24477  20095  551.746
07650  3811  83.388
21050  11086  237.044
19046  5085  72.691
85343  135084  3876.616
18353  3915  89.943
08318  7531  160.283
70802  73262  2122.751
07008  3209  60.29
07112  2566  55.133
10913  4781  112.012
12508  6467  151.749
10314  3536  64.337
98072  157829  4501.484
41042  36590  980.733
07423  4231  91.746
11354  5312  99.065
07032  2861  65.959
18080  4744  100.776
18466  5456  128.4
07310  3448  71.906
70596  76335  2213.269
18954  3635  55.547
14701  22615  604.507
07933  2062  38.182
08094  7110  149.509
19525  5309  110.05
21801  15102  321.426
07603  3956  85.707
08514  5077  93.411
19437  4575  71.698
07852  2967  51.36
28590  30721  768.591
19127  5786  102.177
17025  8308  212.791
07041  2575  51.06
76504  91423  2631.548
18923  3543  58.132
19512  5836  111.095
07757  4303  87.86
11215  4768  82.559
28269  34168  958.169
30004  48267  1336.275
Time: 10-28-2014 23:00:00
08822  1126  15.674
19095  5245  86.637
08889  0  0
18947  3234  49.536
08825  1957  31.916
07936  2478  51.556
08886  1796  36.149
07901  2055  43.667
07073  3920  78.809
08046  5213  91.192
08865  2257  41.393
07712  4263  87.964
08820  2712  43.985
08876  510  6.723
08807  1409  17.107
08902  3200  48.468
18976  3829  61.223
07030  3748  73.389
07652  3830  85.65
18015  3064  64.369
08833  540  7.584
24401  19464  537.885
07066  3060  46.838
19446  4834  74.223
08853  1059  13.9
08873  2133  32.732
18951  3722  75.893
18944  4019  65.482
08502  2340  32.29
08831  3900  64.787
10306  3958  64.63
18013  3961  67.669
18902  3284  53.773
07090  2675  42.969
08551  1787  26.648
07014  3784  74.604
08844  2896  26.835
07065  3100  56.485
07830  1335  16.736
08827  1528  25.357
07920  1554  25.369
02760  16000  390.282
07730  3286  64.858
07746  3768  72.296
08840  2407  42.748
19438  5401  109.196
07022  4048  80.873
07080  2356  36.739
07092  2552  43.805
07005  2769  57.018
07662  3578  81.102
08812  1745  26.697
07747  3202  60.532
18045  2648  60.729
07853  2035  26.844
08801  1099  15.545
07832  4835  86.592
18210  5766  124.295
07023  2200  39.033
07677  4467  96.634
48108  34433  952.98
07016  2813  60.37
07825  3777  76.459
08837  2365  42.877
08060  4675  86.806
18040  3229  51.471
07928  2177  42.742
19382  7455  131.552
07083  2606  55.567
08724  4862  106.678
07010  4189  83.543
08854  1882  30.375
19020  4539  76.424
07054  2576  50.107
07930  2102  34.103
18036  3301  77.21
07202  3186  65.824
07059  1577  28.188
07974  1926  39.961
18034  3124  73.682
07027  2950  44.819
08826  2049  25.631
07821  3346  58.318
07042  3088  64.822
07823  2763  44.346
10977  4483  104.995
19422  4829  76.527
07960  1939  38.897
07860  4412  73.459
07036  3099  58.329
08802  1738  29.333
19075  5076  82.783
18020  2678  59.661
07306  3459  68.763
19355  6148  112.264
07826  6040  121.289
11374  5164  94.318
78852  107634  3110.297
19426  5949  90.23
08882  3009  44.821
10310  3886  71.077
19462  5237  88.245
07670  4761  92.72
07931  1474  23.489
07882  2356  34.609
07945  2419  40.431
07076  2547  42.332
98346  161423  4528.779
08512  3751  52.559
88546  118944  3436.497
07701  3946  79.647
07676  4092  92.612
08850  2909  43.321
07067  2939  50.883
07922  1777  38.022
07940  2416  44.935
08846  1960  25.45
18042  2458  49.225
18925  3327  51.892
08559  1977  29.998
18960  4374  94.575
18901  3620  54.677
18052  3673  80.61
18920  2673  42.339
08867  1638  25.666
07078  2365  49.031
07803  3074  47.951
08755  5415  120.113
07002  3108  68.218
18929  3440  56.427
10022  4548  84.343
17111  8166  205.196
08857  3468  52.042
07456  3882  82.531
38117  58467  1680.256
19403  5529  84.734
10001  3849  80.743
07840  2748  35.096
08809  1590  22.695
07063  2303  31.755
18343  3712  59.962
07753  4190  91.772
07924  1889  29.618
07463  4000  87.45
10993  5469  123.333
18103  3138  75.69
12060  10782  289.475
02043  18156  449.569
07438  3955  82.055
19116  4729  77.967
19002  4731  76.626
08501  4432  85.654
18054  4800  101.917
07436  3360  75.549
18938  2302  40.181
08050  6498  152.688
88013  118381  3343.727
08848  2065  37.511
08540  2663  38.81
18914  3794  61.585
07401  3908  87.747
07033  2663  57.538
